Cancer	TissueType	SampleID	Gene_A	Gene_B	A_chr	A_arm	A_strand	B_chr	B_arm	B_strand	GeneID_A	GeneID_B	Discordant_n	JSR_n	perfectJSR_n	Junc_n	Position_Consist	Junction	Junction_A	Junction_B	Most_JSR	frame_detail	tx_type	frame	TAF_info	Fusion_A_TAF	Fusion_B_TAF	artifact.A	artifact.B	FusionPair	Freq_FP	ABS_distance	fus.category	FusionType	gene1_left	gene1_right	gene2_left	gene2_right	any_near_peak02	Gene_A_redundancy	Gene_B_redunduncy	tier
BLCA	11	TCGA-BT-A20R-11A-11R-A16R-07	GADD45B	PLAT	19	19p	1	8	8p	-1	4616	5327	2	11	9	1	YES	GADD45B:19:2478257_PLAT:8:42051245,11	2478257	42051245	11	NA	NA	NA	GADD45B,1.0000_PLAT,0.0152	1	0.0152	no	no	GADD45B__PLAT	1	39572988	InterChr	InterChr	NA	NA	NA	NA	no seg file	1	1	tier3
BLCA	11	TCGA-BT-A20R-11A-11R-A16R-07	CRHR1	KIAA1267	17	17q	1	17	17q	-1	1394	284058	2	1	1	1	YES	CRHR1:17:43699407_KIAA1267:17:44249598,1	43699407	44249598	1	ENST00000293493:NA_ENST00000262419:NA|ENST00000293493:NA_ENST00000393476:NA|ENST00000339069:NA_ENST00000262419:NA|ENST00000339069:NA_ENST00000393476:NA	alternate-alternate	5UTR-5UTR	CRHR1,0.0312_KIAA1267,0.2000	0.0312	0.2	no	no	CRHR1__KIAA1267	27	550191	Short	Short	NA	NA	NA	NA	no seg file	1	1	tier3
BLCA	11	TCGA-BT-A20W-11A-11R-A14Y-07	DOPEY2	RAB25	21	21q	1	1	1q	1	9980	57111	22	4	3	1	YES	DOPEY2:21:37626207_RAB25:1:156039462,4	37626207	156039462	4	ENST00000399151:1-5259_ENST00000361084:434-642	primary-primary	Out-of-frame	DOPEY2,0.1481_RAB25,0.0150	0.1481	0.015	no	no	DOPEY2__RAB25	1	118413255	InterChr	InterChr	-0.0014	-0.0014	0.0257	0.0257	0	1	1	tier1
BLCA	11	TCGA-BT-A20W-11A-11R-A14Y-07	GRHL2	ANXA13	8	8q	1	8	8q	-1	79977	312	11	2	2	2	PARTIALLY	GRHL2:8:102505077_ANXA13:8:124696962,1|GRHL2:8:102505077_ANXA13:8:124701186,1	102505077	124696962	1	ENST00000395927:NA_ENST00000262219:842-1074|ENST00000395927:NA_ENST00000419625:719-951	alternate-primary	5UTR-CDS	GRHL2,0.0526_ANXA13,0.0909|GRHL2,0.0526_ANXA13,1.0000	0.0526	0.0909	no	no	GRHL2__ANXA13	1	22191885	Long	Long	0.0941	0.0941	0.0941	0.0941	0	1	1	tier1
BLCA	11	TCGA-BT-A20W-11A-11R-A14Y-07	TPT1	STAT6	13	13q	-1	12	12q	-1	7178	6778	2	8	4	1	YES	TPT1:13:45911313_STAT6:12:57496773,8	45911313	57496773	8	NA	NA	NA	TPT1,1.0000_STAT6,0.0351	1	0.0351	no	no	TPT1__STAT6	1	11585460	InterChr	InterChr	-0.0447	-0.0447	0.0165	0.0165	0	1	1	tier3
BLCA	11	TCGA-BT-A20W-11A-11R-A14Y-07	CLIP1	HCAR1	12	12q	-1	12	12q	-1	6249	27198	2	1	1	1	YES	CLIP1:12:122794309_HCAR1:12:123105249,1	122794309	123105249	1	ENST00000302528:1-3561_ENST00000356987:NA|ENST00000537178:1-3456_ENST00000356987:NA|ENST00000540338:1-3594_ENST00000356987:NA|ENST00000545889:1-2319_ENST00000356987:NA|ENST00000358808:1-3561_ENST00000356987:NA|ENST00000392458:1-687_ENST00000356987:NA|ENST00000542885:1-2751_ENST00000356987:NA	primary-alternate	CDS-3UTR	CLIP1,0.0123_HCAR1,0.0526	0.0123	0.0526	no	no	CLIP1__HCAR1	1	310940	Short	Short	-0.0645	-0.0645	-0.0645	-0.0645	0	1	1	tier3
BLCA	11	TCGA-CU-A0YN-11A-11R-A10U-07	FLNA	GSN	X	Xq	-1	9	9q	1	2316	2934	4	1	1	1	YES	FLNA:X:153577152_GSN:9:124030380,1	153577152	124030380	1	ENST00000344736:NA_ENST00000341272:NA|ENST00000344736:NA_ENST00000373808:NA|ENST00000344736:NA_ENST00000394353:NA|ENST00000344736:NA_ENST00000412819:NA|ENST00000344736:NA_ENST00000436847:NA|ENST00000344736:NA_ENST00000449733:NA	alternate-alternate	3UTR-5UTR	FLNA,0.0714_GSN,1.0000	0.0714	1	no	no	FLNA__GSN	1	29546772	InterChr	InterChr	-0.0109	-0.0109	0.0019	0.0019	0	1	1	tier3
BLCA	11	TCGA-GD-A2C5-11A-11R-A180-07	PARP8	ADAM2	5	5q	1	8	8p	-1	79668	2515	14	3	2	2	PARTIALLY	PARP8:5:49963959_ADAM2:8:39613340,2|PARP8:5:49963959_ADAM2:8:39606969,1	49963959	39613340	2	ENST00000281631:1-146_ENST00000379853:1236-1740|ENST00000505697:1-146_ENST00000379853:1236-1740|ENST00000514067:1-146_ENST00000379853:1236-1740|ENST00000503561:NA_ENST00000379853:1236-1740|ENST00000505554:1-83_ENST00000379853:1236-1740|ENST00000513738:1-146_ENST00000379853:1236-1740|ENST00000503665:1-146_ENST00000379853:1236-1740|ENST00000423185:NA_ENST00000379853:1236-1740|ENST00000503750:1-146_ENST00000379853:1236-1740|ENST00000514342:NA_ENST00000379853:1236-1740	primary-alternate	In-frame	PARP8,0.0800_ADAM2,1.0000|PARP8,0.0417_ADAM2,0.0256	0.08	1	no	no	PARP8__ADAM2	1	10350619	InterChr	InterChr	-0.0372	-0.0372	0.0369	0.0369	0	1	1	tier1
BLCA	11	TCGA-GD-A3OP-11A-11R-A220-07	CD74	CCT5	5	5q	-1	5	5p	1	972	22948	2	7	1	1	YES	CD74:5:149781200_CCT5:5:10250033,7	149781200	10250033	7	ENST00000377795:NA_ENST00000280326:NA	alternate-primary	3UTR-5UTR	CD74,1.0000_CCT5,1.0000	1	1	no	no	CD74__CCT5	2	139531167	Long	Long	4e-04	4e-04	4e-04	4e-04	0	1	1	tier3
BLCA	11	TCGA-GD-A3OQ-11A-21R-A220-07	CANX	STAT6	5	5q	1	12	12q	-1	821	6778	2	28	23	1	YES	CANX:5:179157926_STAT6:12:57496773,28	179157926	57496773	28	NA	NA	NA	CANX,1.0000_STAT6,0.0467	1	0.0467	no	no	CANX__STAT6	1	121661153	InterChr	InterChr	0.0033	0.0033	0.0035	0.0035	0	1	1	tier3
